funcion,tipo_cruza,dim,tam_pob,generaciones,repeticion,semilla,mejor_final,peor_final,promedio_final,tiempo_total_seg,diversidad
sphere,un_punto,10,100,1000,0,42,1.1869581081248208e-06,1.5433544228880454,0.33449907962591413,0.8785921379985666,0.17916160755496163
sphere,uniforme,10,100,1000,0,42,1.3698512042807557e-06,1.7911437000958657,0.35498537530448315,1.096401397999216,0.18072182451288757
sphere,blx,10,100,1000,0,42,2.2322626746370113e-10,1.5502544841280725,0.3248677024900536,1.1298847699999897,0.17433455621203586
sphere,sbx,10,100,1000,0,42,8.993568625845312e-08,1.321189031083174,0.3424757929988357,1.124767747000078,0.18156985154611593
rastrigin,un_punto,10,100,1000,0,42,6.278297294670665e-05,53.69243010907326,9.130032016403295,1.3130625289995805,0.1824274301398412
rastrigin,uniforme,10,100,1000,0,42,0.0003312447971097754,33.45682977950621,9.446029976212813,1.621441049999703,0.1853302379868174
rastrigin,blx,10,100,1000,0,42,8.574119192417129e-10,37.574549958042105,10.393746478165916,1.537379500001407,0.17717638188425128
rastrigin,sbx,10,100,1000,0,42,0.0001428593352130747,38.58848193158663,8.362076661075294,1.522492042000522,0.1672887731254938
rosenbrock,un_punto,10,100,1000,0,42,5.951502328536832,75.5787736244851,20.20542647647664,1.2844863749996875,0.10071802642816363
rosenbrock,uniforme,10,100,1000,0,42,6.189827282460336,77.36313362139123,24.906391365034874,1.5089351379992877,0.11616027639610178
rosenbrock,blx,10,100,1000,0,42,7.044300429427265,107.35705441306892,30.741166973300874,1.5073682389993337,0.13310082883235455
rosenbrock,sbx,10,100,1000,0,42,6.112296063706488,82.30223373000884,21.70902802357391,1.4940621360001387,0.1090848939493663
sphere,un_punto,10,100,1000,1,43,1.7366537762213414e-06,1.4856048724072537,0.3264588705616021,0.8706000820002373,0.1755932985010899
sphere,uniforme,10,100,1000,1,43,2.425142873185866e-06,1.9557204056329422,0.2839310490402603,1.0969678840010602,0.1650066443657514
sphere,blx,10,100,1000,1,43,1.3407489315352445e-10,1.6716398865675968,0.3494492237369182,1.1296918669995648,0.18276791436293233
sphere,sbx,10,100,1000,1,43,2.2664073778879453e-07,1.5857215538216027,0.30190051075882723,1.0975421919993096,0.17027164638009845
rastrigin,un_punto,10,100,1000,1,43,0.0003504864964298804,47.28484971812579,9.633082133868463,1.3245447170011175,0.17559307864874618
rastrigin,uniforme,10,100,1000,1,43,0.0004931217121395548,37.55083289333687,9.586575496933369,1.5410284500012494,0.1685636595935697
rastrigin,blx,10,100,1000,1,43,6.214264658410684e-10,44.25500951893001,9.78587685536113,1.5287564939990261,0.1843128608818232
rastrigin,sbx,10,100,1000,1,43,0.00026061282260059215,38.98372060912768,8.869095412745285,1.5099616010011232,0.16771213639145505
rosenbrock,un_punto,10,100,1000,1,43,6.64511169082158,65.30613528870781,21.770903450236837,1.2787986769999407,0.10865995796166214
rosenbrock,uniforme,10,100,1000,1,43,6.640754198621622,87.57316096923495,25.123842538037408,1.485231140999531,0.12238335048465925
rosenbrock,blx,10,100,1000,1,43,9.339700797176288,176.84161074391258,38.60651802161758,1.5098742980007955,0.14223936747758553
rosenbrock,sbx,10,100,1000,1,43,0.038148890467883806,158.04208329604202,26.107764044820144,1.4799876350007253,0.0685280508798919
sphere,un_punto,10,100,1000,2,44,6.425703547807928e-07,1.9540447271539978,0.2924525987315483,0.8943383709993213,0.16746666620516554
sphere,uniforme,10,100,1000,2,44,3.5029746769862888e-06,1.5183859870120895,0.24929502124216948,1.1311926259986649,0.1549138387763947
sphere,blx,10,100,1000,2,44,1.9498469990517422e-10,1.4695959446926916,0.3103451414924341,1.1330145169995376,0.16871539038537728
sphere,sbx,10,100,1000,2,44,4.296509588509517e-07,1.4068700374825327,0.3514475952682943,1.0920606660001795,0.1859958300590297
rastrigin,un_punto,10,100,1000,2,44,0.00042635782307343106,52.99912911882774,8.961815317313626,1.279201313998783,0.1768726558760781
rastrigin,uniforme,10,100,1000,2,44,0.0003658463649003352,39.854082663103256,9.968379054305217,1.5270004630001495,0.16051414832580352
rastrigin,blx,10,100,1000,2,44,1.1407337296986952e-09,41.13550327859116,8.392645723860358,1.533713020000505,0.1755117992541885
rastrigin,sbx,10,100,1000,2,44,6.333148630233154e-05,38.141981132353116,8.982785234736495,1.504932509000355,0.19196133160379755
rosenbrock,un_punto,10,100,1000,2,44,7.39514862148481,159.15864996379494,28.924258189283368,1.2796829420003633,0.10640016298677928
rosenbrock,uniforme,10,100,1000,2,44,6.643793400185572,88.23441155957934,20.847903017747296,1.4715009600004123,0.10673158691052702
rosenbrock,blx,10,100,1000,2,44,6.879757619033223,177.49026579145735,34.4889944181928,1.5040134619994205,0.14292685863322635
rosenbrock,sbx,10,100,1000,2,44,0.15552050363341025,114.49247588299383,19.947534715054488,1.5193529359985405,0.061892062710044285
sphere,un_punto,10,100,1000,3,45,9.45850235886471e-07,1.5489989635786614,0.29332009228215805,0.8856389570009924,0.1661297882308836
sphere,uniforme,10,100,1000,3,45,1.8510084193272468e-06,1.5519366431461163,0.31484584905029783,1.1073601910011348,0.17264263527400397
sphere,blx,10,100,1000,3,45,3.615800098953991e-10,1.6910622732927445,0.2551692839275559,1.131289355998888,0.15696782108441493
sphere,sbx,10,100,1000,3,45,1.0592026282479244e-07,1.8265808941560455,0.37560834216877864,1.098181523000676,0.18632133034234583
rastrigin,un_punto,10,100,1000,3,45,0.0006207860778033591,37.23795822736955,8.826218053436671,1.2995000390001223,0.1659642171979317
rastrigin,uniforme,10,100,1000,3,45,0.00020552091741876666,42.97708867279499,10.341397899962843,1.5444682240013208,0.17617806220094534
rastrigin,blx,10,100,1000,3,45,5.894946752960095e-10,38.45306740992915,8.610772183815927,1.5594410989997414,0.1593923169831338
rastrigin,sbx,10,100,1000,3,45,0.00016203395371405804,43.46013032787822,10.54455748964979,1.571506882999529,0.1820106246709916
rosenbrock,un_punto,10,100,1000,3,45,6.42182285733601,106.75687416112444,22.596731312374086,1.2711181140002736,0.10651629580023776
rosenbrock,uniforme,10,100,1000,3,45,6.358989344520907,80.78243327976237,20.331320489026808,1.4744872510000278,0.10226751113195207
rosenbrock,blx,10,100,1000,3,45,6.6127399477761895,90.41886538559096,25.815641456310047,1.5302964340007748,0.12043392582486367
rosenbrock,sbx,10,100,1000,3,45,6.090294654295878,64.08891836008017,18.443082197602173,1.5049371879995306,0.09612295639009172
sphere,un_punto,10,100,1000,4,46,3.9022986816612935e-06,1.2841862784517668,0.3031526192791143,0.8760925739989034,0.17127041856817488
sphere,uniforme,10,100,1000,4,46,1.2109743494294814e-06,1.671422589471304,0.3188004470983803,1.107344127000033,0.17387298610432178
sphere,blx,10,100,1000,4,46,1.5984700000976225e-10,1.5515780756831545,0.3384516262267118,1.143256453999129,0.17937075983562906
sphere,sbx,10,100,1000,4,46,9.225716541168471e-08,1.796877214272626,0.3534420627011173,1.1123725900015415,0.18284276254600754
rastrigin,un_punto,10,100,1000,4,46,0.00042116761757426957,36.14970491935358,9.258862982766598,1.2897648019988992,0.1723466196506759
rastrigin,uniforme,10,100,1000,4,46,0.0005592092753516908,45.73391098048454,8.856433983278432,1.515041258000565,0.17844549483748262
rastrigin,blx,10,100,1000,4,46,7.395470902338275e-10,41.3081413991912,8.487882676574959,1.5394817349988443,0.18162861187982327
rastrigin,sbx,10,100,1000,4,46,0.00010915832746150045,39.84682554011547,10.551813665783842,1.5673378209994553,0.1741242051077113
rosenbrock,un_punto,10,100,1000,4,46,6.428212883620936,66.41633396521708,19.705893854374402,1.2694415639998624,0.1049877684837679
rosenbrock,uniforme,10,100,1000,4,46,7.129645178500908,87.1944256959507,23.421641378975313,1.483643639001457,0.11848744962709494
rosenbrock,blx,10,100,1000,4,46,6.64606628144911,91.11878052246176,32.240371347457,1.5260564130003331,0.14089195524992057
rosenbrock,sbx,10,100,1000,4,46,4.961966169704825,99.19983389673939,19.939697469215176,1.486334290000741,0.09479135055886696
sphere,un_punto,10,100,1000,5,47,1.7410247850974282e-06,2.4320727060790404,0.3040195031898347,0.8802586319998227,0.17012272318737892
sphere,uniforme,10,100,1000,5,47,3.2793714928180193e-06,1.4382806346237935,0.353385336912026,1.0862491370007774,0.1839653018291958
sphere,blx,10,100,1000,5,47,9.280593099771374e-10,1.667552497516479,0.34469993155695483,1.1389943640006095,0.18277153081617314
sphere,sbx,10,100,1000,5,47,2.7507018766441093e-07,1.6806408698856719,0.3380557341957585,1.1070343089995731,0.17735297150502893
rastrigin,un_punto,10,100,1000,5,47,0.00022009492383290308,40.31401343025108,8.009682633601715,1.2771570470013103,0.17627439325771513
rastrigin,uniforme,10,100,1000,5,47,0.00040699972191760025,52.41345340208606,9.899545892306632,1.5296734450002987,0.18340025973619847
rastrigin,blx,10,100,1000,5,47,6.432117061194731e-10,49.99895309781672,9.439616514139237,1.5351927560004697,0.18498805587338868
rastrigin,sbx,10,100,1000,5,47,0.00010278440548461276,33.93611214862575,8.402429899641527,1.5109724890007783,0.15884665813966495
rosenbrock,un_punto,10,100,1000,5,47,6.38993041329409,122.27767837868947,29.15799502115114,1.315187533000426,0.10090513375414382
rosenbrock,uniforme,10,100,1000,5,47,6.6987661023572,88.03413709624893,25.415064946064845,1.514666347999082,0.11962317482375066
rosenbrock,blx,10,100,1000,5,47,7.057759367582922,79.01909936621769,25.728486784538035,1.5351662169996416,0.12337529400668674
rosenbrock,sbx,10,100,1000,5,47,6.553707544776308,73.86125892209255,22.156622695870315,1.4863627860013366,0.12137766061715607
sphere,un_punto,10,100,1000,6,48,2.2521344693156625e-06,1.6591530475240468,0.3708346281209912,0.877851606999684,0.18476341973021154
sphere,uniforme,10,100,1000,6,48,3.428211151759106e-06,1.7459258639838904,0.2799554934959281,1.0876910900005896,0.16467507752087893
sphere,blx,10,100,1000,6,48,8.295786209130768e-10,1.9726034763936318,0.2953027211643101,1.1192818909985363,0.1678489529350093
sphere,sbx,10,100,1000,6,48,4.911115423796623e-07,1.449097932856034,0.3041998613864399,1.103983833001621,0.1707811449524629
rastrigin,un_punto,10,100,1000,6,48,0.0003321228676611554,41.137522692581484,9.452104197494402,1.3067128710008546,0.187376709275494
rastrigin,uniforme,10,100,1000,6,48,0.0003215513467296205,53.353728977837214,9.45439108272481,1.5165103090002958,0.16710607488016255
rastrigin,blx,10,100,1000,6,48,9.548131174597074e-10,47.715007459488746,8.984833245194359,1.6045545130000392,0.167851853836314
rastrigin,sbx,10,100,1000,6,48,5.46106108032518e-05,46.06903958634996,12.049654462828538,1.5203910630007158,0.20101629190837947
rosenbrock,un_punto,10,100,1000,6,48,5.203814565545312,86.24685239233585,24.979337711752695,1.2719600549989991,0.11024481965057646
rosenbrock,uniforme,10,100,1000,6,48,6.549511036411288,93.71608903580825,21.07267371036222,1.5255323210003553,0.10608891667510897
rosenbrock,blx,10,100,1000,6,48,6.262329744917292,138.306661518751,31.43496959622967,1.521234331999949,0.13519980212939958
rosenbrock,sbx,10,100,1000,6,48,5.195413229298896,68.96209460472387,19.29201031524645,1.4904526469999837,0.0939004660825441
sphere,un_punto,10,100,1000,7,49,3.103396786926613e-06,1.8419800999224432,0.393286972941121,0.8776751860004879,0.19199563979735843
sphere,uniforme,10,100,1000,7,49,2.646812946512479e-06,1.7138516635420606,0.2679754841540395,1.0940644950005662,0.1608636974804633
sphere,blx,10,100,1000,7,49,2.174343667234873e-10,2.142677719633894,0.38409735735210987,1.121782293999786,0.19153524998868918
sphere,sbx,10,100,1000,7,49,2.9806998870698714e-07,1.4051810507302651,0.29259722243682296,1.1029349499985983,0.16884713653433112
rastrigin,un_punto,10,100,1000,7,49,0.000293122970262516,46.25439373148088,9.842689449907878,1.2818787659998634,0.1951023305140022
rastrigin,uniforme,10,100,1000,7,49,0.00043684748112582383,36.6656212669889,7.688284944608176,1.5056997899991984,0.16085828415302256
rastrigin,blx,10,100,1000,7,49,4.538094344752608e-10,38.79324102336572,10.256677985285217,1.5412589970001136,0.19547062261509668
rastrigin,sbx,10,100,1000,7,49,8.308567666404088e-05,39.44704543349282,9.331868828344517,1.5154709939997701,0.17585588318430093
rosenbrock,un_punto,10,100,1000,7,49,5.427702072924593,101.17998071683971,23.250709451871657,1.3011008100002073,0.1042756201961685
rosenbrock,uniforme,10,100,1000,7,49,6.2430050256313,89.76215256643793,21.805933659495427,1.4896128000000317,0.10722568863102999
rosenbrock,blx,10,100,1000,7,49,7.117728737162051,73.07192447867175,29.578634589177963,1.5587222190006287,0.13692146108949305
rosenbrock,sbx,10,100,1000,7,49,6.03515400210612,110.32513390286958,21.212819486052567,1.4883050150001509,0.10991505566861934
sphere,un_punto,10,100,1000,8,50,7.851659916011867e-07,1.5694717128278475,0.3125056880460165,0.9030824820001726,0.1734460600517989
sphere,uniforme,10,100,1000,8,50,7.109000103699857e-07,1.443373806953663,0.37373829277543463,1.0927372930000274,0.19125886474454884
sphere,blx,10,100,1000,8,50,1.744726257043304e-10,2.088892076300882,0.32629862796841896,1.1179898889986362,0.17606565703738636
sphere,sbx,10,100,1000,8,50,3.395235525192098e-08,1.9539568073303937,0.35706071094351616,1.0967592670003796,0.1841109909021937
rastrigin,un_punto,10,100,1000,8,50,0.000570920481294479,44.906654220710145,8.369227049155976,1.3051209679997555,0.17625518336230733
rastrigin,uniforme,10,100,1000,8,50,0.0003654997291420159,46.06973151101424,10.859833881943281,1.49910449699928,0.19690896893349294
rastrigin,blx,10,100,1000,8,50,6.931060170245473e-10,47.82351656737727,9.369369220418127,1.532395386000644,0.1811862974733349
rastrigin,sbx,10,100,1000,8,50,6.05383371237167e-05,45.22080621523133,12.37910304219472,1.522288173000561,0.17537009878073243
rosenbrock,un_punto,10,100,1000,8,50,6.8711074074436675,122.05750012032048,21.335558392752112,1.3367054850004934,0.10947997292833318
rosenbrock,uniforme,10,100,1000,8,50,8.921988722632056,117.88583124482088,33.562323539237156,2.3945624309999403,0.12361288665420762
rosenbrock,blx,10,100,1000,8,50,7.819806368586065,76.9990456093154,26.25585511981988,1.52448651099985,0.13142865269670392
rosenbrock,sbx,10,100,1000,8,50,6.68825212835185,70.97935906177182,20.407286226640935,1.4998286169993662,0.10550014355460227
sphere,un_punto,10,100,1000,9,51,6.669288217362421e-06,1.7675901050980658,0.36631690491415336,0.8870560449995537,0.18637655435473865
sphere,uniforme,10,100,1000,9,51,3.697922607069412e-06,1.9065888077630517,0.3572215899986941,1.119476609999765,0.18076848125969525
sphere,blx,10,100,1000,9,51,5.226711115988237e-10,1.350492714808157,0.31439005491399086,1.1376082150000002,0.17018352499709768
sphere,sbx,10,100,1000,9,51,2.253817914595601e-07,1.6126016469193836,0.2985155066017017,1.2034555370009912,0.16890593910179508
rastrigin,un_punto,10,100,1000,9,51,0.00017703817403003086,49.282229298088495,11.656196273920505,1.3001182769985462,0.1901800530483626
rastrigin,uniforme,10,100,1000,9,51,0.00021636505346123158,42.966606469633625,8.02902488106366,1.4950988660002622,0.18443710902938762
rastrigin,blx,10,100,1000,9,51,5.505285116669256e-09,38.932476102555796,9.492448656804251,1.5737400020007044,0.1703408150988331
rastrigin,sbx,10,100,1000,9,51,0.00021859192042938957,45.863177926642805,10.1273157162206,1.5425017609995848,0.17936488403285472
rosenbrock,un_punto,10,100,1000,9,51,6.525810981603794,79.97523237815864,24.161076285441045,1.2770449519994145,0.12727611457133092
rosenbrock,uniforme,10,100,1000,9,51,1.2087627455475314,141.3950823218357,23.326405158879208,1.4767175760007376,0.07835522043688045
rosenbrock,blx,10,100,1000,9,51,6.932161253838791,84.0099790798939,28.348199831724664,1.528873408000436,0.1269379224788279
rosenbrock,sbx,10,100,1000,9,51,5.503859944110004,78.64129888962543,20.166208552512515,1.4864752310004405,0.10158193115210526
sphere,un_punto,10,100,1000,10,52,1.734501098781259e-06,1.5091095438141104,0.292489540635245,0.8844701560010435,0.16672913838705852
sphere,uniforme,10,100,1000,10,52,1.7738498146385147e-06,1.8716577726344217,0.31470311692615227,1.0887680479991104,0.17503637477925066
sphere,blx,10,100,1000,10,52,2.0092355604889865e-10,1.667532444903224,0.322890783631783,1.1220779340001172,0.17429337260324915
sphere,sbx,10,100,1000,10,52,5.458297487206987e-07,1.7366415901540815,0.3949243705220907,1.096249911999621,0.1953547390870068
rastrigin,un_punto,10,100,1000,10,52,0.00026953770557724965,38.05247756329854,9.158867375368887,1.286698191999676,0.170147208362081
rastrigin,uniforme,10,100,1000,10,52,0.000638377672331103,39.45284876357025,8.941880528353058,1.5005830469999637,0.17730292322286248
rastrigin,blx,10,100,1000,10,52,3.164473127981182e-10,50.231323543352644,9.293716018352685,1.541698721001012,0.17783137301653973
rastrigin,sbx,10,100,1000,10,52,8.25247599038903e-05,34.991488926976956,8.391780980467267,1.5431281719993422,0.16121301924860987
rosenbrock,un_punto,10,100,1000,10,52,6.626412469405882,78.66382458122669,23.771551844946494,1.2725500790002116,0.11892516104507327
rosenbrock,uniforme,10,100,1000,10,52,5.708191993515642,85.04307550597552,22.925084619735944,1.487056523001229,0.10967153276146306
rosenbrock,blx,10,100,1000,10,52,6.082405719482837,114.82058369308913,31.664614645249397,1.504905340998448,0.13293743272820277
rosenbrock,sbx,10,100,1000,10,52,6.4891964500857,67.90125401665978,20.08766585537788,1.4886247499998717,0.1120011330567984
sphere,un_punto,10,100,1000,11,53,9.614968164006912e-07,1.677356889255494,0.3802364223267294,0.8806966789998114,0.19155031006370454
sphere,uniforme,10,100,1000,11,53,1.2572169531807922e-06,1.795563794830327,0.30375454568687316,1.1104821150001953,0.17208082433418773
sphere,blx,10,100,1000,11,53,5.346682125719577e-10,1.8685669345528184,0.3156181752187668,1.1260231520009256,0.17293198382962022
sphere,sbx,10,100,1000,11,53,5.04496317704508e-07,1.4556597627641898,0.31508122039736614,1.1042566349988192,0.17533765388474057
rastrigin,un_punto,10,100,1000,11,53,0.00041183037848213644,41.956594107530236,11.773309103960418,1.2919952669999475,0.19045982243591597
rastrigin,uniforme,10,100,1000,11,53,0.0010061027853254245,32.29446640655415,8.053316800713981,1.6160560449989134,0.17664275567468518
rastrigin,blx,10,100,1000,11,53,1.4567405060006422e-09,46.09649211383128,11.481357819089077,1.537467710000783,0.17654878987490114
rastrigin,sbx,10,100,1000,11,53,3.031348454385352e-05,46.01314799458323,7.8601679134630125,1.5118661840006098,0.1771928703727637
rosenbrock,un_punto,10,100,1000,11,53,9.546439402277393,71.42630352200813,27.215484676208078,1.2787774449989229,0.12240808996342264
rosenbrock,uniforme,10,100,1000,11,53,6.040506704965117,83.82953676160618,24.576749983260033,1.4993626329996914,0.11104041861549052
rosenbrock,blx,10,100,1000,11,53,7.109285212720985,94.40716497172299,25.786808608864092,1.5266168929993,0.12841316255689372
rosenbrock,sbx,10,100,1000,11,53,4.195862769507048,130.95025566746148,31.996361535253378,1.53816200700021,0.08733770103372296
sphere,un_punto,10,100,1000,12,54,2.961177258855045e-06,1.7465379895531974,0.294992265708319,0.9220302590001666,0.16877775104170906
sphere,uniforme,10,100,1000,12,54,5.229830349047636e-07,1.39106570709946,0.2998418196848037,1.0926404219990218,0.1626598049325112
sphere,blx,10,100,1000,12,54,2.3078446057743873e-10,1.4667172520738818,0.37591646923269456,1.1383290519988805,0.18710837533943925
sphere,sbx,10,100,1000,12,54,4.417153876151642e-08,1.6277340539910758,0.3757379913297805,1.10596133099898,0.19121192119216837
rastrigin,un_punto,10,100,1000,12,54,0.00018739823032376535,36.860746706184614,8.373071847787635,1.284795635001501,0.1693795729247647
rastrigin,uniforme,10,100,1000,12,54,8.824460493883635e-05,37.88775298014744,8.468186872136338,1.529773878000924,0.16889617602741502
rastrigin,blx,10,100,1000,12,54,5.279616743791848e-10,37.446196158053255,9.209676928921931,1.5447900550007034,0.18898243955169808
rastrigin,sbx,10,100,1000,12,54,3.767276000132824e-05,40.07812556800788,8.735222905248074,1.5064584800002194,0.1697787466522038
rosenbrock,un_punto,10,100,1000,12,54,6.337997272135841,93.82899528654532,23.55331975675208,1.278750626001056,0.10902864574896828
rosenbrock,uniforme,10,100,1000,12,54,6.119277243450122,74.54665757922636,20.60514741548018,1.4797395579989825,0.10130026850135232
rosenbrock,blx,10,100,1000,12,54,6.984973885090971,94.66724478411903,32.864409108831936,1.531965300999218,0.1416261552967998
rosenbrock,sbx,10,100,1000,12,54,6.297336212006748,91.71253405094687,20.93080825773188,1.5066761769994628,0.10182820590791955
sphere,un_punto,10,100,1000,13,55,2.5437393183892447e-06,1.4405188923543324,0.30506980202403144,0.9173915819992544,0.1721108591252251
sphere,uniforme,10,100,1000,13,55,8.255191503202314e-07,1.2268714684555677,0.21218390040746335,1.1060806209989096,0.14304582706850677
sphere,blx,10,100,1000,13,55,3.5110313371668094e-10,2.126716311654574,0.3131534239064391,1.122172989000319,0.1727887574939312
sphere,sbx,10,100,1000,13,55,1.1495851637707928e-07,1.513588542068259,0.30606639815583164,1.1023104249998141,0.17212566871845267
rastrigin,un_punto,10,100,1000,13,55,0.0015831943662192316,39.016947336932844,9.160916227509247,1.2911262969992094,0.17466598148751938
rastrigin,uniforme,10,100,1000,13,55,0.0003596018583920113,44.87383972934146,8.55784646321392,1.5032512100005988,0.144462081166975
rastrigin,blx,10,100,1000,13,55,1.4802594705543015e-09,39.32411165783999,7.779386943193758,1.5388617509997857,0.17699362434892368
rastrigin,sbx,10,100,1000,13,55,0.00019854173673650166,40.400898600871784,8.723044693727857,1.5313798880015383,0.17728045388387298
rosenbrock,un_punto,10,100,1000,13,55,6.589803366524642,83.01977720218984,21.042132599954098,1.271477309999682,0.10541937436858266
rosenbrock,uniforme,10,100,1000,13,55,6.46692860747506,64.09626665921196,20.53450539785773,1.4839718250004807,0.10597620669787182
rosenbrock,blx,10,100,1000,13,55,7.875055683066205,116.91209434607003,30.629686490585744,1.5904380370011495,0.14450414362303418
rosenbrock,sbx,10,100,1000,13,55,5.611418179013892,57.19399010039373,19.07621317574542,1.5117183989987097,0.09562815106767326
sphere,un_punto,10,100,1000,14,56,2.110241578594542e-06,1.643433797423344,0.26842754270756386,0.8822000910004135,0.15846238280739702
sphere,uniforme,10,100,1000,14,56,2.0286019436519383e-06,1.9453299665420847,0.35855114901643875,1.0971670729995822,0.17824336319655945
sphere,blx,10,100,1000,14,56,4.585492337035221e-10,1.649174642169094,0.3328413631842744,1.1353734900003474,0.17885948376648877
sphere,sbx,10,100,1000,14,56,2.7841540278706224e-07,1.9074928721274478,0.2622026766032233,1.1086591069997667,0.15732411080508746
rastrigin,un_punto,10,100,1000,14,56,0.00023785986834923278,40.38992664983844,9.422896063481023,1.3148489410014008,0.16067488622092074
rastrigin,uniforme,10,100,1000,14,56,0.00028120573088585843,40.770647348825314,9.93827517475796,1.493298347999371,0.18039270924982875
rastrigin,blx,10,100,1000,14,56,4.757083615913871e-10,51.67100493064392,8.716290715904917,1.5692930400000478,0.18118519250327797
rastrigin,sbx,10,100,1000,14,56,0.00023241385120797986,40.18643582574583,9.272496150797942,1.5520395539988385,0.17506916118884377
rosenbrock,un_punto,10,100,1000,14,56,7.666582456317187,92.7771287033496,25.651153645164968,1.285499849000189,0.09795793971790982
rosenbrock,uniforme,10,100,1000,14,56,6.7583457334676424,94.57275680619027,23.382970237324102,1.5087476830012747,0.10994138648090854
rosenbrock,blx,10,100,1000,14,56,9.093591057821124,308.667736676732,41.761717703842166,1.5458511589986301,0.14741222788439728
rosenbrock,sbx,10,100,1000,14,56,8.58172507239593,110.07068579412405,23.20585531411549,1.5026753649999591,0.09531300573159365
